Date,CL=F,GC=F,^FTSE,^GSPC,^NSEI
2018-03-13,60.709999084472656,1325.9000244140625,7138.7998046875,2765.31005859375,10426.849609375
2018-03-14,60.959999084472656,1324.4000244140625,7132.7001953125,2749.47998046875,10410.900390625
2018-03-15,61.189998626708984,1316.800048828125,7139.7998046875,2747.330078125,10360.150390625
2018-03-16,62.34000015258789,1311.300048828125,7164.10009765625,2752.010009765625,10195.150390625
2018-03-19,62.060001373291016,1316.800048828125,7042.89990234375,2712.919921875,10094.25
2018-03-20,63.400001525878906,1311.0999755859375,7061.2998046875,2716.93994140625,10124.349609375
2018-03-21,65.16999816894531,1320.699951171875,7039.0,2711.929931640625,10155.25
2018-03-22,64.30000305175781,1326.5999755859375,6952.60009765625,2643.68994140625,10114.75
2018-03-23,65.87999725341797,1349.300048828125,6921.89990234375,2588.260009765625,9998.0498046875
2018-03-26,65.55000305175781,1354.4000244140625,6888.7001953125,2658.550048828125,10130.650390625
2018-03-27,65.25,1341.300048828125,7000.10009765625,2612.6201171875,10184.150390625
2018-03-28,64.37999725341797,1324.199951171875,7044.7001953125,2605.0,10113.7001953125
2018-03-29,64.94000244140625,1322.800048828125,7056.60009765625,2640.8701171875,
2018-04-02,63.0099983215332,1342.0999755859375,,2581.8798828125,10211.7998046875
2018-04-03,63.5099983215332,1332.800048828125,7030.5,2614.449951171875,10245.0
2018-04-04,63.369998931884766,1335.800048828125,7034.0,2644.68994140625,10128.400390625
2018-04-05,63.540000915527344,1324.300048828125,7199.5,2662.840087890625,10325.150390625
2018-04-06,62.060001373291016,1331.9000244140625,7183.60009765625,2604.469970703125,10331.599609375
2018-04-09,63.41999816894531,1336.300048828125,7194.7998046875,2613.159912109375,10379.349609375
2018-04-10,65.51000213623047,1342.0,7266.7998046875,2656.8701171875,10402.25
2018-04-11,66.81999969482422,1356.5,7257.10009765625,2642.18994140625,10417.150390625
2018-04-12,67.06999969482422,1338.4000244140625,7258.2998046875,2663.989990234375,10458.650390625
2018-04-13,67.38999938964844,1344.800048828125,7264.60009765625,2656.300048828125,10480.599609375
2018-04-16,66.22000122070312,1347.5,7198.2001953125,2677.840087890625,10528.349609375
2018-04-17,66.5199966430664,1347.199951171875,7226.10009765625,2706.389892578125,10548.7001953125
2018-04-18,68.47000122070312,1351.199951171875,7317.2998046875,2708.639892578125,10526.2001953125
2018-04-19,68.29000091552734,1346.800048828125,7328.89990234375,2693.1298828125,10565.2998046875
2018-04-20,68.37999725341797,1336.699951171875,7368.2001953125,2670.139892578125,10564.0498046875
2018-04-23,68.63999938964844,1322.5,7398.89990234375,2670.2900390625,10584.7001953125
2018-04-24,67.69999694824219,1331.4000244140625,7425.39990234375,2634.56005859375,10614.349609375
2018-04-25,68.05000305175781,1321.199951171875,7379.2998046875,2639.39990234375,10570.5498046875
2018-04-26,68.19000244140625,1316.300048828125,7421.39990234375,2666.93994140625,10617.7998046875
2018-04-27,68.0999984741211,1320.300048828125,7502.2001953125,2669.909912109375,10692.2998046875
2018-04-30,68.56999969482422,1316.199951171875,7509.2998046875,2648.050048828125,10739.349609375
2018-05-01,67.25,1303.800048828125,7520.39990234375,2654.800048828125,
2018-05-02,67.93000030517578,1302.5999755859375,7543.2001953125,2635.669921875,10718.0498046875
2018-05-03,68.43000030517578,1310.699951171875,7502.7001953125,2629.72998046875,10679.650390625
2018-05-04,69.72000122070312,1312.699951171875,7567.10009765625,2663.419921875,10618.25
2018-05-07,70.7300033569336,1312.199951171875,,2672.6298828125,10715.5
2018-05-08,69.05999755859375,1312.0,7565.7998046875,2671.919921875,10717.7998046875
2018-05-09,71.13999938964844,1311.300048828125,7662.5,2697.7900390625,10741.7001953125
2018-05-10,71.36000061035156,1320.800048828125,7701.0,2723.070068359375,10716.5498046875
2018-05-11,70.69999694824219,1319.0,7724.60009765625,2727.719970703125,10806.5
2018-05-14,70.95999908447266,1316.5,7711.0,2730.1298828125,10806.599609375
2018-05-15,71.30999755859375,1288.9000244140625,7723.0,2711.449951171875,10801.849609375
2018-05-16,71.48999786376953,1290.199951171875,7734.2001953125,2722.4599609375,10741.099609375
2018-05-17,71.48999786376953,1288.199951171875,7788.0,2720.1298828125,10682.7001953125
2018-05-18,71.27999877929688,1290.199951171875,7778.7998046875,2712.969970703125,10596.400390625
2018-05-21,72.23999786376953,1290.199951171875,7859.2001953125,2733.010009765625,10516.7001953125
2018-05-22,72.12999725341797,1291.699951171875,7877.5,2724.43994140625,10536.7001953125
2018-05-23,71.83999633789062,1289.300048828125,7788.39990234375,2733.2900390625,10430.349609375
2018-05-24,70.70999908447266,1303.699951171875,7716.7001953125,2727.760009765625,10513.849609375
2018-05-25,67.87999725341797,1303.300048828125,7730.2998046875,2721.330078125,10605.150390625
2018-05-28,,,,,10688.650390625
2018-05-29,66.7300033569336,1298.699951171875,7632.60009765625,2689.860107421875,10633.2998046875
2018-05-30,68.20999908447266,1301.5,7689.60009765625,2724.010009765625,10614.349609375
2018-05-31,67.04000091552734,1300.0999755859375,7678.2001953125,2705.27001953125,10736.150390625
2018-06-01,65.80999755859375,1294.800048828125,7701.7998046875,2734.6201171875,10696.2001953125
2018-06-04,64.75,1293.0999755859375,7741.2998046875,2746.8701171875,10628.5
2018-06-05,65.5199966430664,1297.5,7686.7998046875,2748.800048828125,10593.150390625
2018-06-06,64.7300033569336,1297.0999755859375,7712.39990234375,2772.35009765625,10684.650390625
2018-06-07,65.94999694824219,1298.699951171875,7704.39990234375,2770.3701171875,10768.349609375
2018-06-08,65.73999786376953,1298.0999755859375,7681.10009765625,2779.030029296875,10767.650390625
2018-06-11,66.0999984741211,1298.9000244140625,7737.39990234375,2782.0,10786.9501953125
2018-06-12,66.36000061035156,1295.0999755859375,7703.7998046875,2786.85009765625,10842.849609375
2018-06-13,66.63999938964844,1296.9000244140625,7703.7001953125,2775.6298828125,10856.7001953125
2018-06-14,66.88999938964844,1304.0,7765.7998046875,2782.489990234375,10808.0498046875
